STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Baldwin,9,31,Hard maple,Hardwood,3,0,132101,4386912.079,,,,,,,,,,,,,,,,,,
Georgia,13,Covington,9,31,Hard maple,Hardwood,3,0,132101,4386912.079,,,,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,32,Soft maple,Hardwood,3,0,132101,11061084.09,5319647.381,,,14411534.92,,,,,,,,,,,,,,
Georgia,13,Covington,9,32,Soft maple,Hardwood,3,0,132101,11061084.09,5319647.381,,,14411534.92,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,33,Beech,Hardwood,3,0,132101,2120980.454,,,,,,,,,,,,,,,,,,
Georgia,13,Covington,9,33,Beech,Hardwood,3,0,132101,2120980.454,,,,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,34,Sweetgum,Hardwood,3,0,132101,70845792.75,92325005.2,61663063.07,170044469.8,56369313.53,55812963.55,83325422.28,65371989.03,,,,,,,,,,,
Georgia,13,Covington,9,34,Sweetgum,Hardwood,3,0,132101,70845792.75,92325005.2,61663063.07,170044469.8,56369313.53,55812963.55,83325422.28,65371989.03,,,,,,,,,,,
Georgia,13,Baldwin,9,36,Ash,Hardwood,3,0,132101,5143586.037,23288141.6,,23851263.46,,,22509692.28,,,,,,,,,,,,
Georgia,13,Covington,9,36,Ash,Hardwood,3,0,132101,5143586.037,23288141.6,,23851263.46,,,22509692.28,,,,,,,,,,,,
Georgia,13,Baldwin,9,39,Yellow-poplar,Hardwood,3,0,132101,4411759.084,17344831.69,10042480.9,,,,,,,,,,,,,,,,
Georgia,13,Covington,9,39,Yellow-poplar,Hardwood,3,0,132101,4411759.084,17344831.69,10042480.9,,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,41,Other eastern soft hardwoods,Hardwood,3,0,132101,30419470.26,68118998.52,41060341.65,42458204.24,21834055.95,102351176.5,135641045,53962438.09,59055324.44,,107392927.4,,,,,,,,
Georgia,13,Covington,9,41,Other eastern soft hardwoods,Hardwood,3,0,132101,30419470.26,68118998.52,41060341.65,42458204.24,21834055.95,102351176.5,135641045,53962438.09,59055324.44,,107392927.4,,,,,,,,
Georgia,13,Baldwin,9,42,Other eastern hard hardwoods,Hardwood,3,0,132101,6814010.256,10898620.62,,,,,29839208.79,,,,,,,,,,,,
